[20251211 08:38:38][rank-7/8][INFO ] [--------trainer.py:2578] :  iteration        2/      50 | consumed samples:          256 | elapsed time per iteration (ms): 9898.7/21891.9 | hip mem usage/free/total/usage_ratio: 118.03GB/73.96GB/191.98GB/61.48% | rocm mem usage/free/total/usage_ratio: 118.18GB/73.81GB/191.98GB/61.56% | throughput per GPU (TFLOP/s/GPU): 766.8/495.4 | tokens per GPU (tokens/s/GPU): 13241.3/8554.7 | learning rate: 1.000000E-05 | global batch size:   128 | lm loss: 1.189804E+01 | loss scale: 1.0 | grad norm: 2.758 | number of skipped iterations:   0 | number of nan iterations:   0 |
[20251211 08:38:48][rank-7/8][INFO ] [--------trainer.py:2578] :  iteration        3/      50 | consumed samples:          384 | elapsed time per iteration (ms): 9707.0/9707.0 | hip mem usage/free/total/usage_ratio: 118.03GB/73.96GB/191.98GB/61.48% | throughput per GPU (TFLOP/s/GPU): 782.0/782.0 | tokens per GPU (tokens/s/GPU): 13502.9/13502.9 | learning rate: 9.989295E-06 | global batch size:   128 | lm loss: 1.155258E+01 | loss scale: 1.0 | grad norm: 2.962 | number of skipped iterations:   0 | number of nan iterations:   0 |
[20251211 08:38:57][rank-7/8][INFO ] [--------trainer.py:2578] :  iteration        4/      50 | consumed samples:          512 | elapsed time per iteration (ms): 9759.5/9733.3 | hip mem usage/free/total/usage_ratio: 118.03GB/73.96GB/191.98GB/61.48% | throughput per GPU (TFLOP/s/GPU): 777.8/779.9 | tokens per GPU (tokens/s/GPU): 13430.1/13466.5 | learning rate: 9.957224E-06 | global batch size:   128 | lm loss: 1.098099E+01 | loss scale: 1.0 | grad norm: 3.567 | number of skipped iterations:   0 | number of nan iterations:   0 |
[20251211 08:39:07][rank-7/8][INFO ] [--------trainer.py:2578] :  iteration        5/      50 | consumed samples:          640 | elapsed time per iteration (ms): 9776.3/9747.6 | hip mem usage/free/total/usage_ratio: 118.03GB/73.96GB/191.98GB/61.48% | throughput per GPU (TFLOP/s/GPU): 776.4/778.7 | tokens per GPU (tokens/s/GPU): 13407.1/13446.7 | learning rate: 9.903926E-06 | global batch size:   128 | lm loss: 1.057484E+01 | loss scale: 1.0 | grad norm: 4.939 | number of skipped iterations:   0 | number of nan iterations:   0 |
[20251211 08:39:17][rank-7/8][INFO ] [--------trainer.py:2578] :  iteration        6/      50 | consumed samples:          768 | elapsed time per iteration (ms): 9812.6/9763.8 | hip mem usage/free/total/usage_ratio: 118.03GB/73.96GB/191.98GB/61.48% | throughput per GPU (TFLOP/s/GPU): 773.6/777.4 | tokens per GPU (tokens/s/GPU): 13357.6/13424.4 | learning rate: 9.829630E-06 | global batch size:   128 | lm loss: 1.023579E+01 | loss scale: 1.0 | grad norm: 6.703 | number of skipped iterations:   0 | number of nan iterations:   0 |
[20251211 08:39:27][rank-7/8][INFO ] [--------trainer.py:2578] :  iteration        7/      50 | consumed samples:          896 | elapsed time per iteration (ms): 9856.0/9782.3 | hip mem usage/free/total/usage_ratio: 118.03GB/73.96GB/191.98GB/61.48% | throughput per GPU (TFLOP/s/GPU): 770.2/776.0 | tokens per GPU (tokens/s/GPU): 13298.6/13399.3 | learning rate: 9.734651E-06 | global batch size:   128 | lm loss: 9.779916E+00 | loss scale: 1.0 | grad norm: 8.834 | number of skipped iterations:   0 | number of nan iterations:   0 |
[20251211 08:39:37][rank-7/8][INFO ] [--------trainer.py:2578] :  iteration        8/      50 | consumed samples:         1024 | elapsed time per iteration (ms): 9869.2/9796.8 | hip mem usage/free/total/usage_ratio: 118.03GB/73.96GB/191.98GB/61.48% | throughput per GPU (TFLOP/s/GPU): 769.1/774.8 | tokens per GPU (tokens/s/GPU): 13280.9/13379.5 | learning rate: 9.619398E-06 | global batch size:   128 | lm loss: 9.292701E+00 | loss scale: 1.0 | grad norm: 9.561 | number of skipped iterations:   0 | number of nan iterations:   0 |
[20251211 08:39:46][rank-7/8][INFO ] [--------trainer.py:2578] :  iteration        9/      50 | consumed samples:         1152 | elapsed time per iteration (ms): 9898.0/9811.2 | hip mem usage/free/total/usage_ratio: 118.03GB/73.96GB/191.98GB/61.48% | throughput per GPU (TFLOP/s/GPU): 766.9/773.7 | tokens per GPU (tokens/s/GPU): 13242.3/13359.9 | learning rate: 9.484364E-06 | global batch size:   128 | lm loss: 8.711916E+00 | loss scale: 1.0 | grad norm: 9.843 | number of skipped iterations:   0 | number of nan iterations:   0 |
[20251211 08:39:57][rank-7/8][INFO ] [--------trainer.py:2578] :  iteration       10/      50 | consumed samples:         1280 | elapsed time per iteration (ms): 10134.1/9851.6 | hip mem usage/free/total/usage_ratio: 118.03GB/73.96GB/191.98GB/61.48% | throughput per GPU (TFLOP/s/GPU): 749.0/770.6 | tokens per GPU (tokens/s/GPU): 12933.8/13306.7 | learning rate: 9.330127E-06 | global batch size:   128 | lm loss: 8.257510E+00 | loss scale: 1.0 | grad norm: 9.167 | number of skipped iterations:   0 | number of nan iterations:   0 |
[20251211 08:40:07][rank-7/8][INFO ] [--------trainer.py:2578] :  iteration       11/      50 | consumed samples:         1408 | elapsed time per iteration (ms): 10351.5/9907.1 | hip mem usage/free/total/usage_ratio: 118.03GB/73.96GB/191.98GB/61.48% | throughput per GPU (TFLOP/s/GPU): 733.3/766.5 | tokens per GPU (tokens/s/GPU): 12662.1/13235.0 | learning rate: 9.157348E-06 | global batch size:   128 | lm loss: 7.868680E+00 | loss scale: 1.0 | grad norm: 8.633 | number of skipped iterations:   0 | number of nan iterations:   0 |
[20251211 08:40:17][rank-7/8][INFO ] [--------trainer.py:2578] :  iteration       12/      50 | consumed samples:         1536 | elapsed time per iteration (ms): 9908.5/9907.3 | hip mem usage/free/total/usage_ratio: 118.03GB/73.96GB/191.98GB/61.48% | throughput per GPU (TFLOP/s/GPU): 766.1/766.4 | tokens per GPU (tokens/s/GPU): 13228.2/13234.4 | learning rate: 8.966766E-06 | global batch size:   128 | lm loss: 7.523456E+00 | loss scale: 1.0 | grad norm: 8.813 | number of skipped iterations:   0 | number of nan iterations:   0 |
[20251211 08:40:27][rank-7/8][INFO ] [--------trainer.py:2578] :  iteration       13/      50 | consumed samples:         1664 | elapsed time per iteration (ms): 9895.0/9906.2 | hip mem usage/free/total/usage_ratio: 118.03GB/73.96GB/191.98GB/61.48% | throughput per GPU (TFLOP/s/GPU): 767.1/766.5 | tokens per GPU (tokens/s/GPU): 13246.3/13235.5 | learning rate: 8.759199E-06 | global batch size:   128 | lm loss: 7.298280E+00 | loss scale: 1.0 | grad norm: 9.609 | number of skipped iterations:   0 | number of nan iterations:   0 |
