[20251211 08:23:12][rank-7/8][INFO ] [--------trainer.py:2578] :  iteration        2/      50 | consumed samples:         1024 | elapsed time per iteration (ms): 8622.8/53069.1 | hip mem usage/free/total/usage_ratio: 114.79GB/77.20GB/191.98GB/59.79% | rocm mem usage/free/total/usage_ratio: 115.27GB/76.71GB/191.98GB/60.04% | throughput per GPU (TFLOP/s/GPU): 682.2/371.3 | tokens per GPU (tokens/s/GPU): 15200.6/8272.4 | learning rate: 1.000000E-05 | global batch size:   512 | lm loss: 1.204180E+01 | loss scale: 1.0 | grad norm: 2.605 | number of skipped iterations:   0 | number of nan iterations:   0 |
[20251211 08:23:21][rank-7/8][INFO ] [--------trainer.py:2578] :  iteration        3/      50 | consumed samples:         1536 | elapsed time per iteration (ms): 8435.7/8435.7 | hip mem usage/free/total/usage_ratio: 114.79GB/77.20GB/191.98GB/59.79% | throughput per GPU (TFLOP/s/GPU): 697.3/697.3 | tokens per GPU (tokens/s/GPU): 15537.7/15537.7 | learning rate: 1.000000E-05 | global batch size:   512 | lm loss: 1.169232E+01 | loss scale: 1.0 | grad norm: 2.623 | number of skipped iterations:   0 | number of nan iterations:   0 |
[20251211 08:23:29][rank-7/8][INFO ] [--------trainer.py:2578] :  iteration        4/      50 | consumed samples:         2048 | elapsed time per iteration (ms): 8466.1/8450.9 | hip mem usage/free/total/usage_ratio: 114.79GB/77.20GB/191.98GB/59.79% | throughput per GPU (TFLOP/s/GPU): 694.8/696.1 | tokens per GPU (tokens/s/GPU): 15482.0/15509.9 | learning rate: 1.000000E-05 | global batch size:   512 | lm loss: 1.104992E+01 | loss scale: 1.0 | grad norm: 2.752 | number of skipped iterations:   0 | number of nan iterations:   0 |
[20251211 08:23:38][rank-7/8][INFO ] [--------trainer.py:2578] :  iteration        5/      50 | consumed samples:         2560 | elapsed time per iteration (ms): 8489.4/8463.7 | hip mem usage/free/total/usage_ratio: 114.79GB/77.20GB/191.98GB/59.79% | throughput per GPU (TFLOP/s/GPU): 692.9/695.0 | tokens per GPU (tokens/s/GPU): 15439.5/15486.4 | learning rate: 1.000000E-05 | global batch size:   512 | lm loss: 1.051200E+01 | loss scale: 1.0 | grad norm: 3.171 | number of skipped iterations:   0 | number of nan iterations:   0 |
[20251211 08:23:46][rank-7/8][INFO ] [--------trainer.py:2578] :  iteration        6/      50 | consumed samples:         3072 | elapsed time per iteration (ms): 8513.1/8476.1 | hip mem usage/free/total/usage_ratio: 114.79GB/77.20GB/191.98GB/59.79% | throughput per GPU (TFLOP/s/GPU): 691.0/694.0 | tokens per GPU (tokens/s/GPU): 15396.5/15463.9 | learning rate: 1.000000E-05 | global batch size:   512 | lm loss: 9.949954E+00 | loss scale: 1.0 | grad norm: 4.005 | number of skipped iterations:   0 | number of nan iterations:   0 |
[20251211 08:23:55][rank-7/8][INFO ] [--------trainer.py:2578] :  iteration        7/      50 | consumed samples:         3584 | elapsed time per iteration (ms): 8549.4/8490.7 | hip mem usage/free/total/usage_ratio: 114.79GB/77.20GB/191.98GB/59.79% | throughput per GPU (TFLOP/s/GPU): 688.1/692.8 | tokens per GPU (tokens/s/GPU): 15331.1/15437.4 | learning rate: 1.000000E-05 | global batch size:   512 | lm loss: 9.351795E+00 | loss scale: 1.0 | grad norm: 4.845 | number of skipped iterations:   0 | number of nan iterations:   0 |
[20251211 08:24:03][rank-7/8][INFO ] [--------trainer.py:2578] :  iteration        8/      50 | consumed samples:         4096 | elapsed time per iteration (ms): 8559.3/8502.2 | hip mem usage/free/total/usage_ratio: 114.79GB/77.20GB/191.98GB/59.79% | throughput per GPU (TFLOP/s/GPU): 687.3/691.9 | tokens per GPU (tokens/s/GPU): 15313.3/15416.7 | learning rate: 1.000000E-05 | global batch size:   512 | lm loss: 8.795235E+00 | loss scale: 1.0 | grad norm: 4.965 | number of skipped iterations:   0 | number of nan iterations:   0 |
[20251211 08:24:12][rank-7/8][INFO ] [--------trainer.py:2578] :  iteration        9/      50 | consumed samples:         4608 | elapsed time per iteration (ms): 8568.9/8511.7 | hip mem usage/free/total/usage_ratio: 114.79GB/77.20GB/191.98GB/59.79% | throughput per GPU (TFLOP/s/GPU): 686.5/691.1 | tokens per GPU (tokens/s/GPU): 15296.3/15399.5 | learning rate: 1.000000E-05 | global batch size:   512 | lm loss: 8.221826E+00 | loss scale: 1.0 | grad norm: 5.177 | number of skipped iterations:   0 | number of nan iterations:   0 |
[20251211 08:24:20][rank-7/8][INFO ] [--------trainer.py:2578] :  iteration       10/      50 | consumed samples:         5120 | elapsed time per iteration (ms): 8589.7/8521.5 | hip mem usage/free/total/usage_ratio: 114.79GB/77.20GB/191.98GB/59.79% | throughput per GPU (TFLOP/s/GPU): 684.8/690.3 | tokens per GPU (tokens/s/GPU): 15259.1/15381.9 | learning rate: 1.000000E-05 | global batch size:   512 | lm loss: 7.723904E+00 | loss scale: 1.0 | grad norm: 5.089 | number of skipped iterations:   0 | number of nan iterations:   0 |
[20251211 08:24:29][rank-7/8][INFO ] [--------trainer.py:2578] :  iteration       11/      50 | consumed samples:         5632 | elapsed time per iteration (ms): 8584.0/8528.4 | hip mem usage/free/total/usage_ratio: 114.79GB/77.20GB/191.98GB/59.79% | throughput per GPU (TFLOP/s/GPU): 685.3/689.8 | tokens per GPU (tokens/s/GPU): 15269.3/15369.4 | learning rate: 1.000000E-05 | global batch size:   512 | lm loss: 7.170630E+00 | loss scale: 1.0 | grad norm: 5.151 | number of skipped iterations:   0 | number of nan iterations:   0 |
[20251211 08:24:38][rank-7/8][INFO ] [--------trainer.py:2578] :  iteration       12/      50 | consumed samples:         6144 | elapsed time per iteration (ms): 8587.6/8534.3 | hip mem usage/free/total/usage_ratio: 114.79GB/77.20GB/191.98GB/59.79% | throughput per GPU (TFLOP/s/GPU): 685.0/689.3 | tokens per GPU (tokens/s/GPU): 15263.0/15358.8 | learning rate: 1.000000E-05 | global batch size:   512 | lm loss: 6.692392E+00 | loss scale: 1.0 | grad norm: 5.575 | number of skipped iterations:   0 | number of nan iterations:   0 |
[20251211 08:24:46][rank-7/8][INFO ] [--------trainer.py:2578] :  iteration       13/      50 | consumed samples:         6656 | elapsed time per iteration (ms): 8585.7/8539.0 | hip mem usage/free/total/usage_ratio: 114.79GB/77.20GB/191.98GB/59.79% | throughput per GPU (TFLOP/s/GPU): 685.1/688.9 | tokens per GPU (tokens/s/GPU): 15266.3/15350.4 | learning rate: 1.000000E-05 | global batch size:   512 | lm loss: 6.309946E+00 | loss scale: 1.0 | grad norm: 5.688 | number of skipped iterations:   0 | number of nan iterations:   0 |
