[20251218 08:15:50][root/amd][pre_trainer][ip-10.21.9.25][rank-7/8][INFO ] [--------trainer.py:2578] :  iteration        1/      50 | consumed samples:          256 | elapsed time per iteration (ms): 53350.2/53350.2 | hip mem usage/free/total/usage_ratio: 152.14GB/39.85GB/191.98GB/79.24% | rocm mem usage/free/total/usage_ratio: 152.34GB/39.64GB/191.98GB/79.35% | throughput per GPU (TFLOP/s/GPU): 284.6/284.6 | tokens per GPU (tokens/s/GPU): 4913.6/4913.6 | learning rate: 5.000000E-06 | global batch size:   256 | lm loss: 1.189806E+01 | loss scale: 1.0 | grad norm: 2.442 | number of skipped iterations:   0 | number of nan iterations:   0 |
[20251218 08:16:13][root/amd][pre_trainer][ip-10.21.9.25][rank-7/8][INFO ] [--------trainer.py:2578] :  iteration        2/      50 | consumed samples:          512 | elapsed time per iteration (ms): 22465.6/37907.9 | hip mem usage/free/total/usage_ratio: 159.96GB/32.02GB/191.98GB/83.32% | rocm mem usage/free/total/usage_ratio: 160.17GB/31.81GB/191.98GB/83.43% | throughput per GPU (TFLOP/s/GPU): 675.8/480.2 | tokens per GPU (tokens/s/GPU): 11668.7/8291.2 | learning rate: 1.000000E-05 | global batch size:   256 | lm loss: 1.189686E+01 | loss scale: 1.0 | grad norm: 2.755 | number of skipped iterations:   0 | number of nan iterations:   0 |
[20251218 08:16:35][root/amd][pre_trainer][ip-10.21.9.25][rank-7/8][INFO ] [--------trainer.py:2578] :  iteration        3/      50 | consumed samples:          768 | elapsed time per iteration (ms): 22445.6/22445.6 | hip mem usage/free/total/usage_ratio: 159.96GB/32.02GB/191.98GB/83.32% | throughput per GPU (TFLOP/s/GPU): 676.4/676.4 | tokens per GPU (tokens/s/GPU): 11679.1/11679.1 | learning rate: 9.989295E-06 | global batch size:   256 | lm loss: 1.153998E+01 | loss scale: 1.0 | grad norm: 2.990 | number of skipped iterations:   0 | number of nan iterations:   0 |
[20251218 08:16:58][root/amd][pre_trainer][ip-10.21.9.25][rank-7/8][INFO ] [--------trainer.py:2578] :  iteration        4/      50 | consumed samples:         1024 | elapsed time per iteration (ms): 22506.8/22476.2 | hip mem usage/free/total/usage_ratio: 159.96GB/32.02GB/191.98GB/83.32% | throughput per GPU (TFLOP/s/GPU): 674.5/675.5 | tokens per GPU (tokens/s/GPU): 11647.3/11663.2 | learning rate: 9.957224E-06 | global batch size:   256 | lm loss: 1.096591E+01 | loss scale: 1.0 | grad norm: 3.484 | number of skipped iterations:   0 | number of nan iterations:   0 |
[20251218 08:17:20][root/amd][pre_trainer][ip-10.21.9.25][rank-7/8][INFO ] [--------trainer.py:2578] :  iteration        5/      50 | consumed samples:         1280 | elapsed time per iteration (ms): 22509.7/22487.4 | hip mem usage/free/total/usage_ratio: 159.96GB/32.02GB/191.98GB/83.32% | throughput per GPU (TFLOP/s/GPU): 674.4/675.1 | tokens per GPU (tokens/s/GPU): 11645.8/11657.4 | learning rate: 9.903926E-06 | global batch size:   256 | lm loss: 1.055143E+01 | loss scale: 1.0 | grad norm: 4.643 | number of skipped iterations:   0 | number of nan iterations:   0 |
[20251218 08:17:43][root/amd][pre_trainer][ip-10.21.9.25][rank-7/8][INFO ] [--------trainer.py:2578] :  iteration        6/      50 | consumed samples:         1536 | elapsed time per iteration (ms): 22487.2/22487.3 | hip mem usage/free/total/usage_ratio: 159.96GB/32.02GB/191.98GB/83.32% | throughput per GPU (TFLOP/s/GPU): 675.1/675.1 | tokens per GPU (tokens/s/GPU): 11657.5/11657.4 | learning rate: 9.829630E-06 | global batch size:   256 | lm loss: 1.019356E+01 | loss scale: 1.0 | grad norm: 6.822 | number of skipped iterations:   0 | number of nan iterations:   0 |
[20251218 08:18:05][root/amd][pre_trainer][ip-10.21.9.25][rank-7/8][INFO ] [--------trainer.py:2578] :  iteration        7/      50 | consumed samples:         1792 | elapsed time per iteration (ms): 22461.9/22482.2 | hip mem usage/free/total/usage_ratio: 159.96GB/32.02GB/191.98GB/83.32% | throughput per GPU (TFLOP/s/GPU): 675.9/675.3 | tokens per GPU (tokens/s/GPU): 11670.6/11660.1 | learning rate: 9.734651E-06 | global batch size:   256 | lm loss: 9.687737E+00 | loss scale: 1.0 | grad norm: 9.082 | number of skipped iterations:   0 | number of nan iterations:   0 |
[20251218 08:18:28][root/amd][pre_trainer][ip-10.21.9.25][rank-7/8][INFO ] [--------trainer.py:2578] :  iteration        8/      50 | consumed samples:         2048 | elapsed time per iteration (ms): 22473.3/22480.7 | hip mem usage/free/total/usage_ratio: 159.96GB/32.02GB/191.98GB/83.32% | throughput per GPU (TFLOP/s/GPU): 675.5/675.3 | tokens per GPU (tokens/s/GPU): 11664.7/11660.8 | learning rate: 9.619398E-06 | global batch size:   256 | lm loss: 9.164751E+00 | loss scale: 1.0 | grad norm: 9.455 | number of skipped iterations:   0 | number of nan iterations:   0 |
[20251218 08:18:50][root/amd][pre_trainer][ip-10.21.9.25][rank-7/8][INFO ] [--------trainer.py:2578] :  iteration        9/      50 | consumed samples:         2304 | elapsed time per iteration (ms): 22472.6/22479.6 | hip mem usage/free/total/usage_ratio: 159.96GB/32.02GB/191.98GB/83.32% | throughput per GPU (TFLOP/s/GPU): 675.6/675.3 | tokens per GPU (tokens/s/GPU): 11665.1/11661.4 | learning rate: 9.484364E-06 | global batch size:   256 | lm loss: 8.593085E+00 | loss scale: 1.0 | grad norm: 8.906 | number of skipped iterations:   0 | number of nan iterations:   0 |
[20251218 08:19:13][root/amd][pre_trainer][ip-10.21.9.25][rank-7/8][INFO ] [--------trainer.py:2578] :  iteration       10/      50 | consumed samples:         2560 | elapsed time per iteration (ms): 22478.5/22479.4 | hip mem usage/free/total/usage_ratio: 159.96GB/32.02GB/191.98GB/83.32% | throughput per GPU (TFLOP/s/GPU): 675.4/675.4 | tokens per GPU (tokens/s/GPU): 11662.0/11661.5 | learning rate: 9.330127E-06 | global batch size:   256 | lm loss: 8.169315E+00 | loss scale: 1.0 | grad norm: 8.239 | number of skipped iterations:   0 | number of nan iterations:   0 |
[20251218 08:19:35][root/amd][pre_trainer][ip-10.21.9.25][rank-7/8][INFO ] [--------trainer.py:2578] :  iteration       11/      50 | consumed samples:         2816 | elapsed time per iteration (ms): 22479.8/22479.5 | hip mem usage/free/total/usage_ratio: 159.96GB/32.02GB/191.98GB/83.32% | throughput per GPU (TFLOP/s/GPU): 675.3/675.4 | tokens per GPU (tokens/s/GPU): 11661.3/11661.5 | learning rate: 9.157348E-06 | global batch size:   256 | lm loss: 7.780855E+00 | loss scale: 1.0 | grad norm: 8.525 | number of skipped iterations:   0 | number of nan iterations:   0 |
[20251218 08:19:58][root/amd][pre_trainer][ip-10.21.9.25][rank-7/8][INFO ] [--------trainer.py:2578] :  iteration       12/      50 | consumed samples:         3072 | elapsed time per iteration (ms): 22480.5/22479.6 | hip mem usage/free/total/usage_ratio: 159.96GB/32.02GB/191.98GB/83.32% | throughput per GPU (TFLOP/s/GPU): 675.3/675.3 | tokens per GPU (tokens/s/GPU): 11661.0/11661.4 | learning rate: 8.966766E-06 | global batch size:   256 | lm loss: 7.481033E+00 | loss scale: 1.0 | grad norm: 8.694 | number of skipped iterations:   0 | number of nan iterations:   0 |
[20251218 08:20:20][root/amd][pre_trainer][ip-10.21.9.25][rank-7/8][INFO ] [--------trainer.py:2578] :  iteration       13/      50 | consumed samples:         3328 | elapsed time per iteration (ms): 22482.7/22479.9 | hip mem usage/free/total/usage_ratio: 159.96GB/32.02GB/191.98GB/83.32% | throughput per GPU (TFLOP/s/GPU): 675.3/675.3 | tokens per GPU (tokens/s/GPU): 11659.8/11661.3 | learning rate: 8.759199E-06 | global batch size:   256 | lm loss: 7.169314E+00 | loss scale: 1.0 | grad norm: 10.056 | number of skipped iterations:   0 | number of nan iterations:   0 |
