[20251218 08:37:05][root/amd][pre_trainer][ip-10.21.9.25][rank-7/8][INFO ] [--------trainer.py:2578] :  iteration        1/      50 | consumed samples:          256 | elapsed time per iteration (ms): 87713.3/87713.3 | hip mem usage/free/total/usage_ratio: 89.46GB/102.53GB/191.98GB/46.60% | rocm mem usage/free/total/usage_ratio: 89.94GB/102.04GB/191.98GB/46.85% | throughput per GPU (TFLOP/s/GPU): 33.5/33.5 | tokens per GPU (tokens/s/GPU): 747.2/747.2 | learning rate: 5.000000E-06 | global batch size:   256 | lm loss: 1.204098E+01 | loss scale: 1.0 | grad norm: 3.307 | number of skipped iterations:   0 | number of nan iterations:   0 |
[20251218 08:37:11][root/amd][pre_trainer][ip-10.21.9.25][rank-7/8][INFO ] [--------trainer.py:2578] :  iteration        2/      50 | consumed samples:          512 | elapsed time per iteration (ms): 5202.6/46457.9 | hip mem usage/free/total/usage_ratio: 94.95GB/97.03GB/191.98GB/49.46% | rocm mem usage/free/total/usage_ratio: 95.44GB/96.54GB/191.98GB/49.71% | throughput per GPU (TFLOP/s/GPU): 565.3/299.4 | tokens per GPU (tokens/s/GPU): 12596.8/6672.0 | learning rate: 1.000000E-05 | global batch size:   256 | lm loss: 1.204219E+01 | loss scale: 1.0 | grad norm: 3.653 | number of skipped iterations:   0 | number of nan iterations:   0 |
[20251218 08:37:16][root/amd][pre_trainer][ip-10.21.9.25][rank-7/8][INFO ] [--------trainer.py:2578] :  iteration        3/      50 | consumed samples:          768 | elapsed time per iteration (ms): 5014.6/5014.6 | hip mem usage/free/total/usage_ratio: 94.95GB/97.03GB/191.98GB/49.46% | throughput per GPU (TFLOP/s/GPU): 586.5/586.5 | tokens per GPU (tokens/s/GPU): 13068.9/13068.9 | learning rate: 1.000000E-05 | global batch size:   256 | lm loss: 1.148777E+01 | loss scale: 1.0 | grad norm: 3.701 | number of skipped iterations:   0 | number of nan iterations:   0 |
[20251218 08:37:21][root/amd][pre_trainer][ip-10.21.9.25][rank-7/8][INFO ] [--------trainer.py:2578] :  iteration        4/      50 | consumed samples:         1024 | elapsed time per iteration (ms): 5022.3/5018.5 | hip mem usage/free/total/usage_ratio: 94.95GB/97.03GB/191.98GB/49.46% | throughput per GPU (TFLOP/s/GPU): 585.6/586.1 | tokens per GPU (tokens/s/GPU): 13048.9/13058.9 | learning rate: 1.000000E-05 | global batch size:   256 | lm loss: 1.041016E+01 | loss scale: 1.0 | grad norm: 4.795 | number of skipped iterations:   0 | number of nan iterations:   0 |
[20251218 08:37:26][root/amd][pre_trainer][ip-10.21.9.25][rank-7/8][INFO ] [--------trainer.py:2578] :  iteration        5/      50 | consumed samples:         1280 | elapsed time per iteration (ms): 5032.4/5023.1 | hip mem usage/free/total/usage_ratio: 94.95GB/97.03GB/191.98GB/49.46% | throughput per GPU (TFLOP/s/GPU): 584.5/585.5 | tokens per GPU (tokens/s/GPU): 13022.7/13046.9 | learning rate: 1.000000E-05 | global batch size:   256 | lm loss: 9.059455E+00 | loss scale: 1.0 | grad norm: 6.169 | number of skipped iterations:   0 | number of nan iterations:   0 |
[20251218 08:37:31][root/amd][pre_trainer][ip-10.21.9.25][rank-7/8][INFO ] [--------trainer.py:2578] :  iteration        6/      50 | consumed samples:         1536 | elapsed time per iteration (ms): 5043.2/5028.2 | hip mem usage/free/total/usage_ratio: 94.95GB/97.03GB/191.98GB/49.46% | throughput per GPU (TFLOP/s/GPU): 583.2/585.0 | tokens per GPU (tokens/s/GPU): 12994.8/13033.8 | learning rate: 1.000000E-05 | global batch size:   256 | lm loss: 7.250917E+00 | loss scale: 1.0 | grad norm: 7.152 | number of skipped iterations:   0 | number of nan iterations:   0 |
[20251218 08:37:36][root/amd][pre_trainer][ip-10.21.9.25][rank-7/8][INFO ] [--------trainer.py:2578] :  iteration        7/      50 | consumed samples:         1792 | elapsed time per iteration (ms): 5051.7/5032.9 | hip mem usage/free/total/usage_ratio: 94.95GB/97.03GB/191.98GB/49.46% | throughput per GPU (TFLOP/s/GPU): 582.2/584.4 | tokens per GPU (tokens/s/GPU): 12973.2/13021.7 | learning rate: 1.000000E-05 | global batch size:   256 | lm loss: 5.908051E+00 | loss scale: 1.0 | grad norm: 7.619 | number of skipped iterations:   0 | number of nan iterations:   0 |
[20251218 08:37:41][root/amd][pre_trainer][ip-10.21.9.25][rank-7/8][INFO ] [--------trainer.py:2578] :  iteration        8/      50 | consumed samples:         2048 | elapsed time per iteration (ms): 5063.1/5037.9 | hip mem usage/free/total/usage_ratio: 94.95GB/97.03GB/191.98GB/49.46% | throughput per GPU (TFLOP/s/GPU): 580.9/583.8 | tokens per GPU (tokens/s/GPU): 12943.9/13008.7 | learning rate: 1.000000E-05 | global batch size:   256 | lm loss: 4.241145E+00 | loss scale: 1.0 | grad norm: 7.450 | number of skipped iterations:   0 | number of nan iterations:   0 |
[20251218 08:37:46][root/amd][pre_trainer][ip-10.21.9.25][rank-7/8][INFO ] [--------trainer.py:2578] :  iteration        9/      50 | consumed samples:         2304 | elapsed time per iteration (ms): 5079.2/5043.8 | hip mem usage/free/total/usage_ratio: 94.95GB/97.03GB/191.98GB/49.46% | throughput per GPU (TFLOP/s/GPU): 579.1/583.1 | tokens per GPU (tokens/s/GPU): 12902.8/12993.6 | learning rate: 1.000000E-05 | global batch size:   256 | lm loss: 2.860539E+00 | loss scale: 1.0 | grad norm: 6.179 | number of skipped iterations:   0 | number of nan iterations:   0 |
[20251218 08:37:51][root/amd][pre_trainer][ip-10.21.9.25][rank-7/8][INFO ] [--------trainer.py:2578] :  iteration       10/      50 | consumed samples:         2560 | elapsed time per iteration (ms): 5082.7/5048.7 | hip mem usage/free/total/usage_ratio: 94.95GB/97.03GB/191.98GB/49.46% | throughput per GPU (TFLOP/s/GPU): 578.7/582.6 | tokens per GPU (tokens/s/GPU): 12894.0/12981.2 | learning rate: 1.000000E-05 | global batch size:   256 | lm loss: 2.186695E+00 | loss scale: 1.0 | grad norm: 4.505 | number of skipped iterations:   0 | number of nan iterations:   0 |
[20251218 08:37:56][root/amd][pre_trainer][ip-10.21.9.25][rank-7/8][INFO ] [--------trainer.py:2578] :  iteration       11/      50 | consumed samples:         2816 | elapsed time per iteration (ms): 5093.2/5053.6 | hip mem usage/free/total/usage_ratio: 94.95GB/97.03GB/191.98GB/49.46% | throughput per GPU (TFLOP/s/GPU): 577.5/582.0 | tokens per GPU (tokens/s/GPU): 12867.3/12968.5 | learning rate: 1.000000E-05 | global batch size:   256 | lm loss: 1.600620E+00 | loss scale: 1.0 | grad norm: 3.558 | number of skipped iterations:   0 | number of nan iterations:   0 |
[20251218 08:38:01][root/amd][pre_trainer][ip-10.21.9.25][rank-7/8][INFO ] [--------trainer.py:2578] :  iteration       12/      50 | consumed samples:         3072 | elapsed time per iteration (ms): 5095.8/5057.8 | hip mem usage/free/total/usage_ratio: 94.95GB/97.03GB/191.98GB/49.46% | throughput per GPU (TFLOP/s/GPU): 577.2/581.5 | tokens per GPU (tokens/s/GPU): 12860.9/12957.8 | learning rate: 1.000000E-05 | global batch size:   256 | lm loss: 1.124073E+00 | loss scale: 1.0 | grad norm: 2.265 | number of skipped iterations:   0 | number of nan iterations:   0 |
[20251218 08:38:06][root/amd][pre_trainer][ip-10.21.9.25][rank-7/8][INFO ] [--------trainer.py:2578] :  iteration       13/      50 | consumed samples:         3328 | elapsed time per iteration (ms): 5108.0/5062.4 | hip mem usage/free/total/usage_ratio: 94.95GB/97.03GB/191.98GB/49.46% | throughput per GPU (TFLOP/s/GPU): 575.8/581.0 | tokens per GPU (tokens/s/GPU): 12830.1/12946.2 | learning rate: 1.000000E-05 | global batch size:   256 | lm loss: 9.071150E-01 | loss scale: 1.0 | grad norm: 1.975 | number of skipped iterations:   0 | number of nan iterations:   0 |
[20251218 08:38:11][root/amd][pre_trainer][ip-10.21.9.25][rank-7/8][INFO ] [--------trainer.py:2578] :  iteration       14/      50 | consumed samples:         3584 | elapsed time per iteration (ms): 5114.2/5066.7 | hip mem usage/free/total/usage_ratio: 94.95GB/97.03GB/191.98GB/49.46% | throughput per GPU (TFLOP/s/GPU): 575.1/580.5 | tokens per GPU (tokens/s/GPU): 12814.5/12935.2 | learning rate: 1.000000E-05 | global batch size:   256 | lm loss: 6.495297E-01 | loss scale: 1.0 | grad norm: 1.432 | number of skipped iterations:   0 | number of nan iterations:   0 |
[20251218 08:38:16][root/amd][pre_trainer][ip-10.21.9.25][rank-7/8][INFO ] [--------trainer.py:2578] :  iteration       15/      50 | consumed samples:         3840 | elapsed time per iteration (ms): 5117.2/5070.6 | hip mem usage/free/total/usage_ratio: 94.95GB/97.03GB/191.98GB/49.46% | throughput per GPU (TFLOP/s/GPU): 574.8/580.1 | tokens per GPU (tokens/s/GPU): 12807.1/12925.3 | learning rate: 1.000000E-05 | global batch size:   256 | lm loss: 4.634443E-01 | loss scale: 1.0 | grad norm: 1.101 | number of skipped iterations:   0 | number of nan iterations:   0 |
[20251218 08:38:22][root/amd][pre_trainer][ip-10.21.9.25][rank-7/8][INFO ] [--------trainer.py:2578] :  iteration       16/      50 | consumed samples:         4096 | elapsed time per iteration (ms): 5120.3/5074.1 | hip mem usage/free/total/usage_ratio: 94.95GB/97.03GB/191.98GB/49.46% | throughput per GPU (TFLOP/s/GPU): 574.4/579.7 | tokens per GPU (tokens/s/GPU): 12799.4/12916.3 | learning rate: 1.000000E-05 | global batch size:   256 | lm loss: 3.953719E-01 | loss scale: 1.0 | grad norm: 0.785 | number of skipped iterations:   0 | number of nan iterations:   0 |
[20251218 08:38:27][root/amd][pre_trainer][ip-10.21.9.25][rank-7/8][INFO ] [--------trainer.py:2578] :  iteration       17/      50 | consumed samples:         4352 | elapsed time per iteration (ms): 5127.1/5077.7 | hip mem usage/free/total/usage_ratio: 94.95GB/97.03GB/191.98GB/49.46% | throughput per GPU (TFLOP/s/GPU): 573.7/579.3 | tokens per GPU (tokens/s/GPU): 12782.2/12907.4 | learning rate: 1.000000E-05 | global batch size:   256 | lm loss: 3.515750E-01 | loss scale: 1.0 | grad norm: 0.753 | number of skipped iterations:   0 | number of nan iterations:   0 |
[20251218 08:38:32][root/amd][pre_trainer][ip-10.21.9.25][rank-7/8][INFO ] [--------trainer.py:2578] :  iteration       18/      50 | consumed samples:         4608 | elapsed time per iteration (ms): 5128.7/5080.9 | hip mem usage/free/total/usage_ratio: 94.95GB/97.03GB/191.98GB/49.46% | throughput per GPU (TFLOP/s/GPU): 573.5/578.9 | tokens per GPU (tokens/s/GPU): 12778.4/12899.3 | learning rate: 1.000000E-05 | global batch size:   256 | lm loss: 2.753721E-01 | loss scale: 1.0 | grad norm: 0.590 | number of skipped iterations:   0 | number of nan iterations:   0 |
[20251218 08:38:37][root/amd][pre_trainer][ip-10.21.9.25][rank-7/8][INFO ] [--------trainer.py:2578] :  iteration       19/      50 | consumed samples:         4864 | elapsed time per iteration (ms): 5127.7/5083.6 | hip mem usage/free/total/usage_ratio: 94.95GB/97.03GB/191.98GB/49.46% | throughput per GPU (TFLOP/s/GPU): 573.6/578.6 | tokens per GPU (tokens/s/GPU): 12780.8/12892.3 | learning rate: 1.000000E-05 | global batch size:   256 | lm loss: 2.257071E-01 | loss scale: 1.0 | grad norm: 0.441 | number of skipped iterations:   0 | number of nan iterations:   0 |
[20251218 08:38:42][root/amd][pre_trainer][ip-10.21.9.25][rank-7/8][INFO ] [--------trainer.py:2578] :  iteration       20/      50 | consumed samples:         5120 | elapsed time per iteration (ms): 5118.8/5085.6 | hip mem usage/free/total/usage_ratio: 94.95GB/97.03GB/191.98GB/49.46% | throughput per GPU (TFLOP/s/GPU): 574.6/578.4 | tokens per GPU (tokens/s/GPU): 12803.1/12887.4 | learning rate: 1.000000E-05 | global batch size:   256 | lm loss: 1.706159E-01 | loss scale: 1.0 | grad norm: 0.399 | number of skipped iterations:   0 | number of nan iterations:   0 |
[20251218 08:38:48][root/amd][pre_trainer][ip-10.21.9.25][rank-7/8][INFO ] [--------trainer.py:2578] :  iteration       21/      50 | consumed samples:         5376 | elapsed time per iteration (ms): 5426.8/5103.5 | hip mem usage/free/total/usage_ratio: 94.95GB/97.03GB/191.98GB/49.46% | throughput per GPU (TFLOP/s/GPU): 542.0/576.5 | tokens per GPU (tokens/s/GPU): 12076.3/12844.7 | learning rate: 1.000000E-05 | global batch size:   256 | lm loss: 1.904083E-01 | loss scale: 1.0 | grad norm: 0.397 | number of skipped iterations:   0 | number of nan iterations:   0 |
